Time Size Power Thread
442.71 2048 14 1
236.53 2048 14 2
140.79 2048 14 4
89.84 2048 14 6
60.25 2048 14 8
64.50 2048 14 10
76.98 2048 14 12
53.80 2048 14 14
55.01 2048 14 16
466.15 2048 15 1
248.98 2048 15 2
114.89 2048 15 4
95.16 2048 15 6
75.25 2048 15 8
67.54 2048 15 10
77.69 2048 15 12
70.40 2048 15 14
55.08 2048 15 16
464.91 2048 16 1
239.57 2048 16 2
128.71 2048 16 4
95.55 2048 16 6
76.09 2048 16 8
75.40 2048 16 10
75.20 2048 16 12
84.25 2048 16 14
60.67 2048 16 16
